;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
row_completion_com;Row Completion;;;;;;;;;x;;;;
commerce_row_completion1;None;;;;;;;;;x;;;;
commerce_row_completion1_desc; ;;;;;;;;;x;;;;
commerce_row_completion2;Commerce Row Completion 1;;;;;;;;;x;;;;
commerce_row_completion2_desc; ;;;;;;;;;x;;;;
commerce_row_completion3;Commerce Row Completion 2;;;;;;;;;x;;;;
commerce_row_completion3_desc; ;;;;;;;;;x;;;;
commerce_row_completion4;Commerce Row Completion 3;;;;;;;;;x;;;;
commerce_row_completion4_desc; ;;;;;;;;;x;;;;
commerce_row_completion5;Commerce Row Completion 4\n§G-10% §WSupply Consumption;;;;;;;;;x;;;;
commerce_row_completion5_desc; ;;;;;;;;;x;;;;
commerce_row_completion6;Commerce Row Completion 5\n§G-50% §WPension Level;;;;;;;;;x;;;;
commerce_row_completion6_desc; ;;;;;;;;;x;;;;
commerce_row_completion7;Commerce Row Completion 6;;;;;;;;;x;;;;
commerce_row_completion7_desc; ;;;;;;;;;x;;;;
row_completion_cul;Row Completion;;;;;;;;;x;;;;
culture_row_completion1;None;;;;;;;;;x;;;;
culture_row_completion1_desc; ;;;;;;;;;x;;;;
culture_row_completion2;Culture Row Completion 1;;;;;;;;;x;;;;
culture_row_completion2_desc; ;;;;;;;;;x;;;;
culture_row_completion3;Culture Row Completion 2 \n§WMilitancy in Non-Colonial §G-0.05§W:;;;;;;;;;x;;;;
culture_row_completion3_desc; ;;;;;;;;;x;;;;
culture_row_completion4;Culture Row Completion 3;;;;;;;;;x;;;;
culture_row_completion4_desc; ;;;;;;;;;x;;;;
culture_row_completion5;Culture Row Completion 4;;;;;;;;;x;;;;
culture_row_completion5_desc; ;;;;;;;;;x;;;;
culture_row_completion6;Culture Row Completion 5;;;;;;;;;x;;;;
culture_row_completion6_desc; ;;;;;;;;;x;;;;
culture_row_completion7;Culture Row Completion 6;;;;;;;;;x;;;;
culture_row_completion7_desc; ;;;;;;;;;x;;;;
row_completion_ind;Row Completion;;;;;;;;;x;;;;
industry_row_completion1;None;;;;;;;;;x;;;;
industry_row_completion1_desc; ;;;;;;;;;x;;;;
industry_row_completion2;Industry Row Completion 1;;;;;;;;;x;;;;
industry_row_completion2_desc; ;;;;;;;;;x;;;;
industry_row_completion3;Industry Row Completion 2;;;;;;;;;x;;;;
industry_row_completion3_desc; ;;;;;;;;;x;;;;
industry_row_completion4;Industry Row Completion 3;;;;;;;;;x;;;;
industry_row_completion4_desc; ;;;;;;;;;x;;;;
industry_row_completion5;Industry Row Completion 4;;;;;;;;;x;;;;
industry_row_completion5_desc; ;;;;;;;;;x;;;;
industry_row_completion6;Industry Row Completion 5;;;;;;;;;x;;;;
industry_row_completion6_desc; ;;;;;;;;;x;;;;
industry_row_completion7;Industry Row Completion 6\n§WPop Growth: §G+0.01%§W;;;;;;;;;x;;;;
industry_row_completion7_desc; ;;;;;;;;;x;;;;
row_completion_nav;Row Completion;;;;;;;;;x;;;;
navy_row_completion1;None;;;;;;;;;x;;;;
navy_row_completion1_desc; ;;;;;;;;;x;;;;
navy_row_completion2;Navy Row Completion 1;;;;;;;;;x;;;;
navy_row_completion2_desc; ;;;;;;;;;x;;;;
navy_row_completion3;Navy Row Completion 2;;;;;;;;;x;;;;
navy_row_completion3_desc; ;;;;;;;;;x;;;;
navy_row_completion4;Navy Row Completion 3;;;;;;;;;x;;;;
navy_row_completion4_desc; ;;;;;;;;;x;;;;
navy_row_completion5;Navy Row Completion 4;;;;;;;;;x;;;;
navy_row_completion5_desc; ;;;;;;;;;x;;;;
navy_row_completion6;Navy Row Completion 5;;;;;;;;;x;;;;
navy_row_completion6_desc; ;;;;;;;;;x;;;;
navy_row_completion7;Navy Row Completion 6;;;;;;;;;x;;;;
navy_row_completion7_desc; ;;;;;;;;;x;;;;
row_completion_arm;Row Completion;;;;;;;;;x;;;;
army_row_completion1;None;;;;;;;;;x;;;;
army_row_completion1_desc; ;;;;;;;;;x;;;;
army_row_completion2;Army Row Completion 1;;;;;;;;;x;;;;
army_row_completion2_desc; ;;;;;;;;;x;;;;
army_row_completion3;Army Row Completion 2\n§G+0.05 §WLeadership Points;;;;;;;;;x;;;;
army_row_completion3_desc; ;;;;;;;;;x;;;;
army_row_completion4;Army Row Completion 3;;;;;;;;;x;;;;
army_row_completion4_desc; ;;;;;;;;;x;;;;
army_row_completion5;Army Row Completion 4;;;;;;;;;x;;;;
army_row_completion5_desc; ;;;;;;;;;x;;;;
army_row_completion6;Army Row Completion 5;;;;;;;;;x;;;;
army_row_completion6_desc; ;;;;;;;;;x;;;;
army_row_completion7;Army Row Completion 6;;;;;;;;;x;;;;
army_row_completion7_desc; ;;;;;;;;;x;;;;
row_completion;Row Completion;;;;;;;;;;;;x
uk_nation_modifier;United Kingdom Tradition:;;;;;;;;;;;;;
fra_nation_modifier;France Tradition;;;;;;;;;;;;;
pru_nation_modifier;Germany Tradition;;;;;;;;;;;;;
aus_nation_modifier;Austria Tradition;;;;;;;;;;;;;
sar_nation_modifier;Italy Tradition;;;;;;;;;;;;;
tur_nation_modifier;Ottoman Tradition;;;;;;;;;;;;;
rus_nation_modifier;Russia Tradition;;;;;;;;;;;;;
usa_nation_modifier;United States Tradition:;;;;;;;;;;;;;
csa_nation_modifier;Confederate States Tradition:;;;;;;;;;;;;;
jap_nation_modifier;Japan Tradition;;;;;;;;;;;;;
spa_nation_modifier;Spain Tradition;;;;;;;;;;;;;
ksn_nation_modifier;Scandinavia Tradition;;;;;;;;;;;;;
net_nation_modifier;Netherland Tradition:;;;;;;;;;;;;;
brz_nation_modifier;Brazil Tradition;;;;;;;;;;;;;
com_nation_modifier;Commonwealth Tradition;;;;;;;;;;;;;
chi_nation_modifier;China Tradition:;;;;;;;;;;;;;
mex_nation_modifier;Mexico Tradition;;;;;;;;;;;;;
arc_nation_modifier;Argentina Tradition;;;;;;;;;;;;;
